DATAFLOW,LAST UPDATE,freq,unit,na_item,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:SDG_08_10(1.0),22/12/25 23:00:00,Annual,"Chain linked volumes (2020), euro per capita",Gross domestic product at market prices,Albania,2000,2120,,
ESTAT:SDG_08_10(1.0),22/12/25 23:00:00,Annual,"Chain linked volumes (2020), euro per capita",Gross domestic product at market prices,Albania,2001,2330,,
ESTAT:SDG_08_10(1.0),22/12/25 23:00:00,Annual,"Chain linked volumes (2020), euro per capita",Gross domestic product at market prices,Albania,2002,2440,,
ESTAT:SDG_08_10(1.0),22/12/25 23:00:00,Annual,"Chain linked volumes (2020), euro per capita",Gross domestic product at market prices,Albania,2003,2580,,
ESTAT:SDG_08_10(1.0),22/12/25 23:00:00,Annual,"Chain linked volumes (2020), euro per capita",Gross domestic product at market prices,Albania,2004,2730,,
ESTAT:SDG_08_10(1.0),22/12/25 23:00:00,Annual,"Chain linked volumes (2020), euro per capita",Gross domestic product at market prices,Albania,2005,2880,,
ESTAT:SDG_08_10(1.0),22/12/25 23:00:00,Annual,"Chain linked volumes (2020), euro per capita",Gross domestic product at market prices,Albania,2006,3080,,
ESTAT:SDG_08_10(1.0),22/12/25 23:00:00,Annual,"Chain linked volumes (2020), euro per capita",Gross domestic product at market prices,Albania,2007,3300,,
ESTAT:SDG_08_10(1.0),22/12/25 23:00:00,Annual,"Chain linked volumes (2020), euro per capita",Gross domestic product at market prices,Albania,2008,3550,,
ESTAT:SDG_08_10(1.0),22/12/25 23:00:00,Annual,"Chain linked volumes (2020), euro per capita",Gross domestic product at market prices,Albania,2009,3680,,
ESTAT:SDG_08_10(1.0),22/12/25 23:00:00,Annual,"Chain linked volumes (2020), euro per capita",Gross domestic product at market prices,Albania,2010,3800,,
ESTAT:SDG_08_10(1.0),22/12/25 23:00:00,Annual,"Chain linked volumes (2020), euro per capita",Gross domestic product at market prices,Albania,2011,3910,,
ESTAT:SDG_08_10(1.0),22/12/25 23:00:00,Annual,"Chain linked volumes (2020), euro per capita",Gross domestic product at market prices,Albania,2012,3950,,
ESTAT:SDG_08_10(1.0),22/12/25 23:00:00,Annual,"Chain linked volumes (2020), euro per capita",Gross domestic product at market prices,Albania,2013,4030,,
ESTAT:SDG_08_10(1.0),22/12/25 23:00:00,Annual,"Chain linked volumes (2020), euro per capita",Gross domestic product at market prices,Albania,2014,4130,,
ESTAT:SDG_08_10(1.0),22/12/25 23:00:00,Annual,"Chain linked volumes (2020), euro per capita",Gross domestic product at market prices,Albania,2015,4230,,
ESTAT:SDG_08_10(1.0),22/12/25 23:00:00,Annual,"Chain linked volumes (2020), euro per capita",Gross domestic product at market prices,Albania,2016,4400,,
ESTAT:SDG_08_10(1.0),22/12/25 23:00:00,Annual,"Chain linked volumes (2020), euro per capita",Gross domestic product at market prices,Albania,2017,4550,,
ESTAT:SDG_08_10(1.0),22/12/25 23:00:00,Annual,"Chain linked volumes (2020), euro per capita",Gross domestic product at market prices,Albania,2018,4730,,
ESTAT:SDG_08_10(1.0),22/12/25 23:00:00,Annual,"Chain linked volumes (2020), euro per capita",Gross domestic product at market prices,Albania,2019,4850,,
ESTAT:SDG_08_10(1.0),22/12/25 23:00:00,Annual,"Chain linked volumes (2020), euro per capita",Gross domestic product at market prices,Albania,2020,4710,,
ESTAT:SDG_08_10(1.0),22/12/25 23:00:00,Annual,"Chain linked volumes (2020), euro per capita",Gross domestic product at market prices,Albania,2021,5190,,
ESTAT:SDG_08_10(1.0),22/12/25 23:00:00,Annual,"Chain linked volumes (2020), euro per capita",Gross domestic product at market prices,Albania,2022,5500,,
ESTAT:SDG_08_10(1.0),22/12/25 23:00:00,Annual,"Chain linked volumes (2020), euro per capita",Gross domestic product at market prices,Austria,2000,37880,,
ESTAT:SDG_08_10(1.0),22/12/25 23:00:00,Annual,"Chain linked volumes (2020), euro per capita",Gross domestic product at market prices,Austria,2001,38230,,
ESTAT:SDG_08_10(1.0),22/12/25 23:00:00,Annual,"Chain linked volumes (2020), euro per capita",Gross domestic product at market prices,Austria,2002,38610,,
ESTAT:SDG_08_10(1.0),22/12/25 23:00:00,Annual,"Chain linked volumes (2020), euro per capita",Gross domestic product at market prices,Austria,2003,38880,,
ESTAT:SDG_08_10(1.0),22/12/25 23:00:00,Annual,"Chain linked volumes (2020), euro per capita",Gross domestic product at market prices,Austria,2004,39620,,
ESTAT:SDG_08_10(1.0),22/12/25 23:00:00,Annual,"Chain linked volumes (2020), euro per capita",Gross domestic product at market prices,Austria,2005,40270,,
ESTAT:SDG_08_10(1.0),22/12/25 23:00:00,Annual,"Chain linked volumes (2020), euro per capita",Gross domestic product at market prices,Austria,2006,41370,,
ESTAT:SDG_08_10(1.0),22/12/25 23:00:00,Annual,"Chain linked volumes (2020), euro per capita",Gross domestic product at market prices,Austria,2007,42790,,
ESTAT:SDG_08_10(1.0),22/12/25 23:00:00,Annual,"Chain linked volumes (2020), euro per capita",Gross domestic product at market prices,Austria,2008,43270,,
ESTAT:SDG_08_10(1.0),22/12/25 23:00:00,Annual,"Chain linked volumes (2020), euro per capita",Gross domestic product at market prices,Austria,2009,41620,,
ESTAT:SDG_08_10(1.0),22/12/25 23:00:00,Annual,"Chain linked volumes (2020), euro per capita",Gross domestic product at market prices,Austria,2010,42280,,
ESTAT:SDG_08_10(1.0),22/12/25 23:00:00,Annual,"Chain linked volumes (2020), euro per capita",Gross domestic product at market prices,Austria,2011,43370,,
ESTAT:SDG_08_10(1.0),22/12/25 23:00:00,Annual,"Chain linked volumes (2020), euro per capita",Gross domestic product at market prices,Austria,2012,43450,,
ESTAT:SDG_08_10(1.0),22/12/25 23:00:00,Annual,"Chain linked volumes (2020), euro per capita",Gross domestic product at market prices,Austria,2013,43080,,
ESTAT:SDG_08_10(1.0),22/12/25 23:00:00,Annual,"Chain linked volumes (2020), euro per capita",Gross domestic product at market prices,Austria,2014,43070,,
ESTAT:SDG_08_10(1.0),22/12/25 23:00:00,Annual,"Chain linked volumes (2020), euro per capita",Gross domestic product at market prices,Austria,2015,43200,,
ESTAT:SDG_08_10(1.0),22/12/25 23:00:00,Annual,"Chain linked volumes (2020), euro per capita",Gross domestic product at market prices,Austria,2016,43550,,
ESTAT:SDG_08_10(1.0),22/12/25 23:00:00,Annual,"Chain linked volumes (2020), euro per capita",Gross domestic product at market prices,Austria,2017,44260,,
ESTAT:SDG_08_10(1.0),22/12/25 23:00:00,Annual,"Chain linked volumes (2020), euro per capita",Gross domestic product at market prices,Austria,2018,45140,,
ESTAT:SDG_08_10(1.0),22/12/25 23:00:00,Annual,"Chain linked volumes (2020), euro per capita",Gross domestic product at market prices,Austria,2019,45730,,
ESTAT:SDG_08_10(1.0),22/12/25 23:00:00,Annual,"Chain linked volumes (2020), euro per capita",Gross domestic product at market prices,Austria,2020,42650,,
ESTAT:SDG_08_10(1.0),22/12/25 23:00:00,Annual,"Chain linked volumes (2020), euro per capita",Gross domestic product at market prices,Austria,2021,44580,,
ESTAT:SDG_08_10(1.0),22/12/25 23:00:00,Annual,"Chain linked volumes (2020), euro per capita",Gross domestic product at market prices,Austria,2022,46430,,
ESTAT:SDG_08_10(1.0),22/12/25 23:00:00,Annual,"Chain linked volumes (2020), euro per capita",Gross domestic product at market prices,Austria,2023,45670,,
ESTAT:SDG_08_10(1.0),22/12/25 23:00:00,Annual,"Chain linked volumes (2020), euro per capita",Gross domestic product at market prices,Austria,2024,45140,,
ESTAT:SDG_08_10(1.0),22/12/25 23:00:00,Annual,"Chain linked volumes (2020), euro per capita",Gross domestic product at market prices,Belgium,2000,35370,,
ESTAT:SDG_08_10(1.0),22/12/25 23:00:00,Annual,"Chain linked volumes (2020), euro per capita",Gross domestic product at market prices,Belgium,2001,35640,,
ESTAT:SDG_08_10(1.0),22/12/25 23:00:00,Annual,"Chain linked volumes (2020), euro per capita",Gross domestic product at market prices,Belgium,2002,36080,,
ESTAT:SDG_08_10(1.0),22/12/25 23:00:00,Annual,"Chain linked volumes (2020), euro per capita",Gross domestic product at market prices,Belgium,2003,36300,,
ESTAT:SDG_08_10(1.0),22/12/25 23:00:00,Annual,"Chain linked volumes (2020), euro per capita",Gross domestic product at market prices,Belgium,2004,37440,,
ESTAT:SDG_08_10(1.0),22/12/25 23:00:00,Annual,"Chain linked volumes (2020), euro per capita",Gross domestic product at market prices,Belgium,2005,38100,,
ESTAT:SDG_08_10(1.0),22/12/25 23:00:00,Annual,"Chain linked volumes (2020), euro per capita",Gross domestic product at market prices,Belgium,2006,38810,,
ESTAT:SDG_08_10(1.0),22/12/25 23:00:00,Annual,"Chain linked volumes (2020), euro per capita",Gross domestic product at market prices,Belgium,2007,39950,,
ESTAT:SDG_08_10(1.0),22/12/25 23:00:00,Annual,"Chain linked volumes (2020), euro per capita",Gross domestic product at market prices,Belgium,2008,39810,,
ESTAT:SDG_08_10(1.0),22/12/25 23:00:00,Annual,"Chain linked volumes (2020), euro per capita",Gross domestic product at market prices,Belgium,2009,38740,b,
ESTAT:SDG_08_10(1.0),22/12/25 23:00:00,Annual,"Chain linked volumes (2020), euro per capita",Gross domestic product at market prices,Belgium,2010,39420,,
ESTAT:SDG_08_10(1.0),22/12/25 23:00:00,Annual,"Chain linked volumes (2020), euro per capita",Gross domestic product at market prices,Belgium,2011,39670,,
ESTAT:SDG_08_10(1.0),22/12/25 23:00:00,Annual,"Chain linked volumes (2020), euro per capita",Gross domestic product at market prices,Belgium,2012,39510,,
ESTAT:SDG_08_10(1.0),22/12/25 23:00:00,Annual,"Chain linked volumes (2020), euro per capita",Gross domestic product at market prices,Belgium,2013,39440,,
ESTAT:SDG_08_10(1.0),22/12/25 23:00:00,Annual,"Chain linked volumes (2020), euro per capita",Gross domestic product at market prices,Belgium,2014,39960,,
ESTAT:SDG_08_10(1.0),22/12/25 23:00:00,Annual,"Chain linked volumes (2020), euro per capita",Gross domestic product at market prices,Belgium,2015,40310,,
ESTAT:SDG_08_10(1.0),22/12/25 23:00:00,Annual,"Chain linked volumes (2020), euro per capita",Gross domestic product at market prices,Belgium,2016,40590,,
ESTAT:SDG_08_10(1.0),22/12/25 23:00:00,Annual,"Chain linked volumes (2020), euro per capita",Gross domestic product at market prices,Belgium,2017,41030,,
ESTAT:SDG_08_10(1.0),22/12/25 23:00:00,Annual,"Chain linked volumes (2020), euro per capita",Gross domestic product at market prices,Belgium,2018,41610,,
ESTAT:SDG_08_10(1.0),22/12/25 23:00:00,Annual,"Chain linked volumes (2020), euro per capita",Gross domestic product at market prices,Belgium,2019,42400,,
ESTAT:SDG_08_10(1.0),22/12/25 23:00:00,Annual,"Chain linked volumes (2020), euro per capita",Gross domestic product at market prices,Belgium,2020,40190,,
ESTAT:SDG_08_10(1.0),22/12/25 23:00:00,Annual,"Chain linked volumes (2020), euro per capita",Gross domestic product at market prices,Belgium,2021,42530,,
